asset_path,source_path,source_commit,source_blob_sha,source_file_sha256,asset_sha256,evidence_class,thesis_use,citation_allowed,derived_or_copied,derivation,caveat
data/controls/control_absolute_metrics.csv,artifacts/final_audit/summary.json;docs/FINAL_RCA_CONTROL_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,03d71623f1602899ed65ea998a887e54972f324c;e92e4c831a5a5b989f8bf0a99f1cbfd6d636e8db,61d48c6c9b505874ac0929452f5f8f5416b8c224057b04a90aecf92c4576de1f;aad3960b074463a2499bd46658ba122ffb0df0ad13ab0f2ba9639d1b6c299bf2,3d977aba40907b8400e76dd971cbf2b1f32bff7f33e050ceced66d02d295015f,SUPPORTING,final method and falsification-control metrics,true,DERIVED,Flattened absolute metrics from the committed final-audit summary; S3 is kept separate as a service-identity diagnostic.,
data/controls/control_bootstrap.csv,artifacts/final_audit/control_comparisons.json;docs/FINAL_RCA_CONTROL_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,081547b6dfb8b0ee118b8cd1e0a7894f67fd8a61;e92e4c831a5a5b989f8bf0a99f1cbfd6d636e8db,864f018f8196f4cfac233ad089b54eabf587d59ab3b4b655b609d3c33063a971;aad3960b074463a2499bd46658ba122ffb0df0ad13ab0f2ba9639d1b6c299bf2,87e0c3ea88208d5ee743c2d77dd3cab4b7f83c918b6119f542fbbd432943e440,SUPPORTING,final-versus-control paired bootstrap,true,DERIVED,"Flattened the committed 10,000-resample control comparisons.",
data/controls/final_minus_controls.csv,artifacts/final_audit/summary.json,9342e06db91945be2e44703437229ba45b18bda8,03d71623f1602899ed65ea998a887e54972f324c,61d48c6c9b505874ac0929452f5f8f5416b8c224057b04a90aecf92c4576de1f,b2738817e9c6501aa36697a936019230587daee8795ebe9d83d157f92f096b3f,SUPPORTING,final-minus-control effect sizes,true,DERIVED,Derived by subtracting each control's committed absolute metric from FINAL-Z2.,
data/controls/service_identity_diagnostic.csv,artifacts/final_audit/s3_service_identity/summary.json;docs/S3_SERVICE_IDENTITY_PROBE.md,9342e06db91945be2e44703437229ba45b18bda8,aa2e88adde1dd6b47238752dfc404c1db0d92505;3a5fd6656e86233a6f2621060b778c27a3ea2b1a,3a7d75b0ced5a3128a6597aee7ae7902a57b3daaa6110990e8912a340f61cc39;12ed8bb8d085c4ac07cd9e4647e0fe419522b9a066f0ce34d42639c02cde0210,01d18675783044fe48a5ea600bb7dc0ac13525caf5670245ec4d4556704a8da3,DIAGNOSTIC,service identity and fingerprint diagnostic,true,DERIVED,Flattened the committed S3 diagnostic summary without treating it as an RCA baseline.,"S3 is a diagnostic control, not an RCA baseline or causal result."
data/diagnostics/anchor_feasibility_summary.csv,artifacts/final_audit/anchor_feasibility.json;docs/ANCHOR_FEASIBILITY_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,4e193c9330414e064544e184dca72c8994261b59;acce7c8ad626379a95acb82dcda7793b98a43d20,1fdf6fdae57dd4048d9d5fa50d06521bce13cc16b53f144a1017fe4e6702938e;bf59643e1367edfb572171e884599104cd9e521650697fda7e9b842b6bdf677c,63bd94af158c346970427238235b6dc69c984a6ce1044554fc9b55d2b5a4a4f1,DIAGNOSTIC,anchor feasibility limitation,true,DERIVED,Exported only compact status/count fields from the complete feasibility audit; the 77-row report remains indexed.,No shifted-anchor performance exists under the frozen pipeline.
data/diagnostics/coverage_summary.csv,artifacts/postmortem/coverage_analysis.json;docs/P3_POSTMORTEM.md,9342e06db91945be2e44703437229ba45b18bda8,de2cc1f109e05deebfecac2b21aeaefd81d2ab13;200b31aa4709a34d434b625a2cee527af7633413,19ab2e4978457dc9f62ab169e51d8c25a2017aff194753ed44945abd36e3f20f;8e1b251e95ddca622fc8a923ae2b37f6c7f155f07149067e1eaf98e1f1a14a71,fbd8b056f12a1278e2428454e25eb078585e321bd64c51a0ac691f5e4d35ba47,DIAGNOSTIC,coverage/rank-gain diagnostic,true,DERIVED,Flattened committed descriptive coverage analysis.,
data/diagnostics/failure_case_summary.csv,artifacts/final_method/re2ob/predictions.jsonl;artifacts/final_method/re2tt/predictions.jsonl;artifacts/source/re2ob/labels.jsonl;artifacts/source/re2tt/labels.jsonl,9342e06db91945be2e44703437229ba45b18bda8,6e77ba9133cbd94d564ef07c9500ef4a76c26164;bc1833b5235899be63eab71165f0f1594ab4432d;13456fbdb3e064a0521b8243ccd34f695a753f26;bbc2b3e906eab2555de3f45ecb64e018092466cb,1d3bbc30869062c30569bd7b752cc2520d8e1337b8861bf11e55bbd69eaf5ff5;e937897d182735651959ad9449a7d6837ac71b029bec0fe90e143395009dd57d;f3dd164e03d9207af4d4e432a1848c2100ec7a65c125b420c80642a56be3dba7;950885c2d89872f670d8cb06121a0d8d4c3e9fbd6be5e97a29af89a6013481ca,e3ccfd957c5021245f2891bf7466e1c840fed7bf693a87630f791934e4ba4514,DIAGNOSTIC,worst-case root-rank diagnostic,true,DERIVED,Selected the ten largest reconstructed root ranks per dataset; this is descriptive and not a new metric.,
data/diagnostics/magnitude_inversion_summary.csv,artifacts/audits/magnitude_inversion.json;docs/MAGNITUDE_INVERSION_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,485d6d106359db8480d23b4a24135a31f2e27ee7;30318b016b11d46e8f02ec5c195c7f1152435b65,ca8f96d600223e6694e95710d1360bef4514c6037936f1ea2b75a0bc84d3de52;addf67e28f58b48f89c0f70f73fac8754ac8dc9b03399480889bd3a89e97a36b,632a8077355ab35cfbd8cb277a2ca8b3b4a2d00d771dbb98ee4975155da07e69,DIAGNOSTIC,magnitude inversion diagnostic,true,DERIVED,Flattened the committed label-free magnitude inversion summary.,
data/diagnostics/postmortem_subgroup_summary.csv,artifacts/p4_g0/metrics/subgroup_diagnostics.json;artifacts/postmortem/coverage_analysis.json;artifacts/postmortem/fault_root_fold_analysis.json;artifacts/postmortem/mi_subset_analysis.json;artifacts/postmortem/z2_vs_z1_bootstrap.json;docs/P3_POSTMORTEM.md;docs/P4_G0_FAILURE_ANALYSIS.md,9342e06db91945be2e44703437229ba45b18bda8,871edcc38589f52c39facb9e5bab75c4a5c68e32;de2cc1f109e05deebfecac2b21aeaefd81d2ab13;11b6c0690c1c323715ad70bd99004ca4443137be;859edf23451e8c50e37cf47647527f94ea21c888;d906f41bf18816cc0a6f6ad29164e9d5c3ab0405;200b31aa4709a34d434b625a2cee527af7633413;3c538cc2a092c5cbb5dff671a82b14f0c56ebd7f,31a6dd02f354754bc184c3bd1d3f16dff8bfb4ad4ff733d714d4c78879bb8bd7;19ab2e4978457dc9f62ab169e51d8c25a2017aff194753ed44945abd36e3f20f;d2c753c04f3406de970adc3c4d5dd50b6034b371eb0d9e02d511ea877a2f58a1;6fabccc2af9c504bfbd341a07ccc4f2a94d5a15b44c93ad1482ce902a4dc2539;f9e5a8a97bc0719e132bce698cdd3479b28f56ba27835922d9f1ba418bb4fd21;8e1b251e95ddca622fc8a923ae2b37f6c7f155f07149067e1eaf98e1f1a14a71;9d3708e53cd8d68e4f8ab233b84b53a61750f6b77b6e4f9cc3201dfc04148b0c,ee2ce82fb6eadfe2d41b3cf45fdac871ca3145373839a284565cba4d13bca038,DIAGNOSTIC,post-hoc subgroup and postmortem diagnostics,true,DERIVED,Flattened committed postmortem/subgroup summaries without re-running telemetry or fitting models.,
data/diagnostics/service_fingerprint_summary.csv,artifacts/final_audit/s3_service_identity/summary.json;docs/FINAL_RCA_CONTROL_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,aa2e88adde1dd6b47238752dfc404c1db0d92505;e92e4c831a5a5b989f8bf0a99f1cbfd6d636e8db,3a7d75b0ced5a3128a6597aee7ae7902a57b3daaa6110990e8912a340f61cc39;aad3960b074463a2499bd46658ba122ffb0df0ad13ab0f2ba9639d1b6c299bf2,17873d77ad97ee26dd5f575acd39f368264978c96c02da69f6d9b8c64f3e9589,DIAGNOSTIC,service/telemetry fingerprint risk,true,DERIVED,Selected high-level S3 diagnostic statistics; no explicit-leakage result is promoted to absolute no-leakage.,
data/final/candidate_universe_summary.csv,artifacts/source/re2ob/service_registry.json;artifacts/source/re2tt/service_registry.json,9342e06db91945be2e44703437229ba45b18bda8,6666ce39ee6451fe639f56254ad44bf0175bc1e9;cc22c894c15c33b28992d88f3f7c0750979460d8,9eae7e79662ade83e0f6034073ab5c424bbf93be5765bd4bc5ea51d90c0efd19;67ad834a58be40802d9a8071ae849b7812ee390b87b08b5d82567596a39d236a,c5e0d5a34e80925fb670692cdfc18e7ec42fc061321f43f589fceceea1379ceb,CANONICAL,candidate universe semantics,true,DERIVED,Read the frozen legal candidate registries and case counts.,
data/final/case_level_metrics.csv,artifacts/final_method/re2ob/predictions.jsonl;artifacts/final_method/re2tt/predictions.jsonl;artifacts/source/re2ob/labels.jsonl;artifacts/source/re2tt/labels.jsonl;artifacts/splits/re2ob/assignments.json;artifacts/splits/re2tt/assignments.json,9342e06db91945be2e44703437229ba45b18bda8,6e77ba9133cbd94d564ef07c9500ef4a76c26164;bc1833b5235899be63eab71165f0f1594ab4432d;13456fbdb3e064a0521b8243ccd34f695a753f26;bbc2b3e906eab2555de3f45ecb64e018092466cb;2ce15415da59005219eb4c522443ee38895e485b;9f55c3e93d4bf17bcea561143d08f8e3d857e89f,1d3bbc30869062c30569bd7b752cc2520d8e1337b8861bf11e55bbd69eaf5ff5;e937897d182735651959ad9449a7d6837ac71b029bec0fe90e143395009dd57d;f3dd164e03d9207af4d4e432a1848c2100ec7a65c125b420c80642a56be3dba7;950885c2d89872f670d8cb06121a0d8d4c3e9fbd6be5e97a29af89a6013481ca;ca576819554ebe3d1cddd8f261bb661e7111896ff7b7dd6258e9f5daafad5195;88b4615ed3c950569ed7e4c4e9c66a302e8f88adf1715a8457540e00390b68e7,2b1176d60033948c3c799ecee5b366f3fd6dcc2cafdf35c48b4ca180f1279246,CANONICAL,case-level final metrics,true,DERIVED,Same independently reconstructed case rows exposed as a case-metric table.,
data/final/case_root_ranks.csv,artifacts/final_method/re2ob/predictions.jsonl;artifacts/final_method/re2tt/predictions.jsonl;artifacts/source/re2ob/labels.jsonl;artifacts/source/re2tt/labels.jsonl;artifacts/splits/re2ob/assignments.json;artifacts/splits/re2tt/assignments.json,9342e06db91945be2e44703437229ba45b18bda8,6e77ba9133cbd94d564ef07c9500ef4a76c26164;bc1833b5235899be63eab71165f0f1594ab4432d;13456fbdb3e064a0521b8243ccd34f695a753f26;bbc2b3e906eab2555de3f45ecb64e018092466cb;2ce15415da59005219eb4c522443ee38895e485b;9f55c3e93d4bf17bcea561143d08f8e3d857e89f,1d3bbc30869062c30569bd7b752cc2520d8e1337b8861bf11e55bbd69eaf5ff5;e937897d182735651959ad9449a7d6837ac71b029bec0fe90e143395009dd57d;f3dd164e03d9207af4d4e432a1848c2100ec7a65c125b420c80642a56be3dba7;950885c2d89872f670d8cb06121a0d8d4c3e9fbd6be5e97a29af89a6013481ca;ca576819554ebe3d1cddd8f261bb661e7111896ff7b7dd6258e9f5daafad5195;88b4615ed3c950569ed7e4c4e9c66a302e8f88adf1715a8457540e00390b68e7,2b1176d60033948c3c799ecee5b366f3fd6dcc2cafdf35c48b4ca180f1279246,CANONICAL,independently reconstructed case-level root ranks,true,DERIVED,"Joined prediction rankings to frozen label sidecars and fold assignments, then applied the frozen one-indexed rank formulas.",This is a pure statistical reconstruction; it does not regenerate predictions.
data/final/fault_level_metrics.csv,artifacts/final_method/re2ob/predictions.jsonl;artifacts/final_method/re2tt/predictions.jsonl;artifacts/source/re2ob/labels.jsonl;artifacts/source/re2tt/labels.jsonl;artifacts/splits/re2ob/assignments.json;artifacts/splits/re2tt/assignments.json,9342e06db91945be2e44703437229ba45b18bda8,6e77ba9133cbd94d564ef07c9500ef4a76c26164;bc1833b5235899be63eab71165f0f1594ab4432d;13456fbdb3e064a0521b8243ccd34f695a753f26;bbc2b3e906eab2555de3f45ecb64e018092466cb;2ce15415da59005219eb4c522443ee38895e485b;9f55c3e93d4bf17bcea561143d08f8e3d857e89f,1d3bbc30869062c30569bd7b752cc2520d8e1337b8861bf11e55bbd69eaf5ff5;e937897d182735651959ad9449a7d6837ac71b029bec0fe90e143395009dd57d;f3dd164e03d9207af4d4e432a1848c2100ec7a65c125b420c80642a56be3dba7;950885c2d89872f670d8cb06121a0d8d4c3e9fbd6be5e97a29af89a6013481ca;ca576819554ebe3d1cddd8f261bb661e7111896ff7b7dd6258e9f5daafad5195;88b4615ed3c950569ed7e4c4e9c66a302e8f88adf1715a8457540e00390b68e7,c6204183cb6a01ef65e23d1cb599f56af0708651f3cbcbcfd776dafaedf78e02,CANONICAL,fault-level final metrics,true,DERIVED,Aggregated reconstructed case root ranks by the six frozen fault types.,
data/final/fold_level_metrics.csv,artifacts/final_method/re2ob/predictions.jsonl;artifacts/final_method/re2tt/predictions.jsonl;artifacts/source/re2ob/labels.jsonl;artifacts/source/re2tt/labels.jsonl;artifacts/splits/re2ob/assignments.json;artifacts/splits/re2tt/assignments.json,9342e06db91945be2e44703437229ba45b18bda8,6e77ba9133cbd94d564ef07c9500ef4a76c26164;bc1833b5235899be63eab71165f0f1594ab4432d;13456fbdb3e064a0521b8243ccd34f695a753f26;bbc2b3e906eab2555de3f45ecb64e018092466cb;2ce15415da59005219eb4c522443ee38895e485b;9f55c3e93d4bf17bcea561143d08f8e3d857e89f,1d3bbc30869062c30569bd7b752cc2520d8e1337b8861bf11e55bbd69eaf5ff5;e937897d182735651959ad9449a7d6837ac71b029bec0fe90e143395009dd57d;f3dd164e03d9207af4d4e432a1848c2100ec7a65c125b420c80642a56be3dba7;950885c2d89872f670d8cb06121a0d8d4c3e9fbd6be5e97a29af89a6013481ca;ca576819554ebe3d1cddd8f261bb661e7111896ff7b7dd6258e9f5daafad5195;88b4615ed3c950569ed7e4c4e9c66a302e8f88adf1715a8457540e00390b68e7,9f84922ff16b30177fc4e526565c550905baa3f66b40c871ee854096797ca73d,CANONICAL,fold-level final metrics,true,DERIVED,Aggregated reconstructed case root ranks by frozen outer fold.,
data/final/model_fit_diagnostics.csv,artifacts/final_method/re2ob/model_state_manifest.json;artifacts/final_method/re2tt/model_state_manifest.json,9342e06db91945be2e44703437229ba45b18bda8,2887f1b40778350940c824d5a60ffc6d896d543e;a1acddc98d4ee86189346ea91a90bc9c0e15ae3d,cdd1ed0a94418b9d1d61fafee87fda5624ea9a7adbbb01f4509b5300572b11fc;f617759a7531f73c927d1a63f3158874685154590b025975a1a0edc0e39fa793,6c2985899d91c6aa522f8512cda7f349fbdbf29d5b2a3cc5bc4d53842e9edd41,CANONICAL,final model-fit numerical integrity,true,DERIVED,Same persisted-state diagnostic exposed next to final performance tables; no model was refit.,
data/final/overall_metrics.csv,artifacts/evidence_closure/metric_reconstruction_v1_1.json;artifacts/final_method/re2ob/predictions.jsonl;artifacts/final_method/re2tt/predictions.jsonl;artifacts/source/re2ob/labels.jsonl;artifacts/source/re2tt/labels.jsonl;artifacts/splits/re2ob/assignments.json;artifacts/splits/re2tt/assignments.json,9342e06db91945be2e44703437229ba45b18bda8,6efb80e1c0e91a49dd3a724bd8870da78814d9ff;6e77ba9133cbd94d564ef07c9500ef4a76c26164;bc1833b5235899be63eab71165f0f1594ab4432d;13456fbdb3e064a0521b8243ccd34f695a753f26;bbc2b3e906eab2555de3f45ecb64e018092466cb;2ce15415da59005219eb4c522443ee38895e485b;9f55c3e93d4bf17bcea561143d08f8e3d857e89f,0cfc89c2bf48abeabb931a668522a80ba7cf7121f30fed3344fae866202e78c3;1d3bbc30869062c30569bd7b752cc2520d8e1337b8861bf11e55bbd69eaf5ff5;e937897d182735651959ad9449a7d6837ac71b029bec0fe90e143395009dd57d;f3dd164e03d9207af4d4e432a1848c2100ec7a65c125b420c80642a56be3dba7;950885c2d89872f670d8cb06121a0d8d4c3e9fbd6be5e97a29af89a6013481ca;ca576819554ebe3d1cddd8f261bb661e7111896ff7b7dd6258e9f5daafad5195;88b4615ed3c950569ed7e4c4e9c66a302e8f88adf1715a8457540e00390b68e7,ef52301376d3e89af39df9e9403707d3f22cc01bc65cd1ab8ee42a8d323dc4af,CANONICAL,final overall metrics,true,DERIVED,Aggregated independently reconstructed case root ranks and checked equality against canonical metrics.,
data/final/root_level_metrics.csv,artifacts/final_method/re2ob/predictions.jsonl;artifacts/final_method/re2tt/predictions.jsonl;artifacts/source/re2ob/labels.jsonl;artifacts/source/re2tt/labels.jsonl;artifacts/splits/re2ob/assignments.json;artifacts/splits/re2tt/assignments.json,9342e06db91945be2e44703437229ba45b18bda8,6e77ba9133cbd94d564ef07c9500ef4a76c26164;bc1833b5235899be63eab71165f0f1594ab4432d;13456fbdb3e064a0521b8243ccd34f695a753f26;bbc2b3e906eab2555de3f45ecb64e018092466cb;2ce15415da59005219eb4c522443ee38895e485b;9f55c3e93d4bf17bcea561143d08f8e3d857e89f,1d3bbc30869062c30569bd7b752cc2520d8e1337b8861bf11e55bbd69eaf5ff5;e937897d182735651959ad9449a7d6837ac71b029bec0fe90e143395009dd57d;f3dd164e03d9207af4d4e432a1848c2100ec7a65c125b420c80642a56be3dba7;950885c2d89872f670d8cb06121a0d8d4c3e9fbd6be5e97a29af89a6013481ca;ca576819554ebe3d1cddd8f261bb661e7111896ff7b7dd6258e9f5daafad5195;88b4615ed3c950569ed7e4c4e9c66a302e8f88adf1715a8457540e00390b68e7,de1fe37676d41078938c93d9c18bb6d5c8998252ebb2416b7025bf5858251092,CANONICAL,root-level final metrics,true,DERIVED,Aggregated reconstructed case root ranks by true root service.,
data/final/root_rank_distribution.csv,artifacts/final_method/re2ob/predictions.jsonl;artifacts/final_method/re2tt/predictions.jsonl;artifacts/source/re2ob/labels.jsonl;artifacts/source/re2tt/labels.jsonl;artifacts/splits/re2ob/assignments.json;artifacts/splits/re2tt/assignments.json,9342e06db91945be2e44703437229ba45b18bda8,6e77ba9133cbd94d564ef07c9500ef4a76c26164;bc1833b5235899be63eab71165f0f1594ab4432d;13456fbdb3e064a0521b8243ccd34f695a753f26;bbc2b3e906eab2555de3f45ecb64e018092466cb;2ce15415da59005219eb4c522443ee38895e485b;9f55c3e93d4bf17bcea561143d08f8e3d857e89f,1d3bbc30869062c30569bd7b752cc2520d8e1337b8861bf11e55bbd69eaf5ff5;e937897d182735651959ad9449a7d6837ac71b029bec0fe90e143395009dd57d;f3dd164e03d9207af4d4e432a1848c2100ec7a65c125b420c80642a56be3dba7;950885c2d89872f670d8cb06121a0d8d4c3e9fbd6be5e97a29af89a6013481ca;ca576819554ebe3d1cddd8f261bb661e7111896ff7b7dd6258e9f5daafad5195;88b4615ed3c950569ed7e4c4e9c66a302e8f88adf1715a8457540e00390b68e7,768d8273ca0711a98856756361f1e2e66167155c5ca3c1b2803509a29385d4a6,DESCRIPTIVE,descriptive root-rank distribution,true,DERIVED,Counted independently reconstructed one-indexed root ranks; this does not replace headline metrics.,
data/optimization/corrected_optimization_bootstrap.csv,artifacts/evidence_closure/bootstrap_corrected_v1_1.json;docs/BOOTSTRAP_FORENSIC_AUDIT.md,9342e06db91945be2e44703437229ba45b18bda8,bd308db31aa92e79d65870ea986fd13810a11e40;fa13039401471c70cbebbf992310d6358eb6d305,172ea8c2e2d2103a1e50635ed9681e6a35e4c763e630ae0a7a192555169caaf2;a1f722b12a45a46600e8e752643469df80067596d6a658a87bdddaa5711c3322,25273ae6db2268882d29fe106ed97aa96a1235771c0bec9f3aa90c5fdfa2b529,CANONICAL,corrected optimization uncertainty evidence,true,DERIVED,Flattened only the canonical Candidate-minus-V1 bootstrap artifact; legacy intervals are excluded.,Intervals are conditional on fixed frozen root ranks and do not establish a consistent optimization gain.
data/optimization/global_opt_metrics.csv,artifacts/evidence_closure/metric_reconstruction_v1_1.json;artifacts/opt/final/GLOBAL-OPT/re2ob/metrics.json;artifacts/opt/final/GLOBAL-OPT/re2tt/metrics.json,9342e06db91945be2e44703437229ba45b18bda8,6efb80e1c0e91a49dd3a724bd8870da78814d9ff;0283f6bd6145d2423624d7446d262ee38e944d40;4e4ac01621dc4d635a3ce3a11020cbc59385bf68,0cfc89c2bf48abeabb931a668522a80ba7cf7121f30fed3344fae866202e78c3;080a4035753de2d9c8eeb15e9f4d18d43be34116ee9a3b7e0954ed797f5a43d1;7dfcafc271420df860877e11c87778fba32a75793a3006a5ab48d3fad4f5ef5c,9b1f2c4aa7071e1cca5e2b5a92871d25a73eb91b2c4a88c073df244ac48361c6,SUPPORTING,GLOBAL-OPT or PER-DATASET-OPT post-study metrics,true,DERIVED,Read committed post-study metrics and canonical evidence-level semantics.,PER-DATASET complete candidate rankings remain NOT_AUDITABLE.
